complaint_text,complaint_type,location,priority
sports ground is nt maintained,General,Sports Ground,Low
auditorium is big,Civil / Infrastructure,Auditorium,Medium
hostel a lift is working,Civil / Infrastructure,Hostel A,Low
library staff is helpful,Library,Library,Medium
wifi in hostel c is fast,IT / Network,Hostel C,Medium
"my wifi nt wrking in hostel a, pls fix asap",Electricity,Hostel A,High
cant find enuf charging ports in lib,Library,Library,Medium
prof said ther wud b a lab sessn 2day but ther isnt,IT / Network,Laboratory,Low
hostel c food s sucks,Mess / Canteen,Hostel C,Medium
wud luv it if ther wer more plug pts in hostel b,Electricity,Hostel B,Low
"sports ground floodd aftr ystrdy's rain, needs urgent fix",Civil / Infrastructure,Sports Ground,High
"cant c anythn on my comp scren, probs wth projctr in lab",IT / Network,Laboratory,Medium
"hostl a has no hot wtr supply, pls chk",Water Supply,Hostel A,Medium
audtrium ac nt wrking,General,Auditorium,High
"lib has no slient zone, cant studee",Library,Library,Low
why nt enuf bikes in bike share prog,Transport,Campus (General),Medium
"hostl c has no lift, its a prob 4 me",Civil / Infrastructure,Hostel C,Low
mss / canteen food s cold,Mess / Canteen,Mess / Canteen,Medium
"nt gud wth lab eqpt, needs repair",Laboratory,Laboratory,Low
wifi signal strng in hostel a,Electricity,Hostel A,Low
"hostl d has no atm, pls install 1",General,Hostel D,Medium
prof said ther wud b a quiz 2day but ther isnt,IT / Network,Laboratory,Low
"wtr leak in hostel b, fix pls",Water Supply,Hostel B,Medium
main bldng toilet nt clean,Civil / Infrastructure,Main Building,Low
"wnt 2 report, hostel c has no intercom",IT / Network,Hostel C,Medium
lab eqpt nt wrking,Laboratory,Laboratory,Medium
no hot wtr supply in hostel d,Water Supply,Hostel D,Medium
"hostel a has no dustbin, pls provde",Civil / Infrastructure,Hostel A,Low
lib has no books on ml,Library,Library,Low
wud luv it if ther wer more events in audtrium,General,Auditorium,Low
no wifi in lib,Electricity,Library,Medium
mess / canteen food s nt gud,Mess / Canteen,Mess / Canteen,Medium
hostl b has no fire extinguisher,Civil / Infrastructure,Hostel B,High
why nt enuf fans in hostel c,Electricity,Hostel C,Medium
no wtr supply in hostel a,Water Supply,Hostel A,High
"wnt 2 report, lab eqpt nt wrking",Laboratory,Laboratory,Medium
hostel d has no gym,General,Hostel D,Low
hostel c has no tv,General,Hostel C,Low
wifi nt wrking in main bldng,Electricity,Main Building,Medium
wud luv it if ther wer more charging pts in lib,Library,Library,Low
no lift in hostel b,Civil / Infrastructure,Hostel B,Medium
hostl a has no atm,General,Hostel A,Medium
mss / canteen has no menu,Mess / Canteen,Mess / Canteen,Low
lab eqpt nt calibrted,Laboratory,Laboratory,Medium
no intercom in hostel d,IT / Network,Hostel D,Medium
hostel c toilet nt clean,Civil / Infrastructure,Hostel C,Low
"wnt 2 report, no hot wtr supply in hostel b",Water Supply,Hostel B,Medium
main bldng has no fire alarm,Civil / Infrastructure,Main Building,High
wud luv it if ther wer more silent zones in lib,Library,Library,Low
no wifi in hostel c,Electricity,Hostel C,Medium
hostl d has no washing machn,General,Hostel D,Low
hostel a has no refrigerator,General,Hostel A,Low
"wnt 2 report, hostel b has no dustbin",Civil / Infrastructure,Hostel B,Low
no wtr supply in lib,Water Supply,Library,Medium
lab eqpt nt wrking,Laboratory,Laboratory,Medium
hostel c has no telephone,IT / Network,Hostel C,Medium
mss / canteen has no AC,Mess / Canteen,Mess / Canteen,Medium
no lift in hostel d,Civil / Infrastructure,Hostel D,Medium
wud luv it if ther wer more books on ai in lib,Library,Library,Low
hostl a has no gym,General,Hostel A,Low
wifi signal nt strng in hostel b,Electricity,Hostel B,Low
no hot wtr supply in hostel c,Water Supply,Hostel C,Medium
hostel d has no TV,General,Hostel D,Low
main bldng has no ATM,General,Main Building,Medium
"wnt 2 report, lib has no newspaper",Library,Library,Low
no intercom in hostel a,IT / Network,Hostel A,Medium
hostel b has no refrigerator,General,Hostel B,Low
wud luv it if ther wer more events in sports ground,General,Sports Ground,Low
mss / canteen food s nt gud,Mess / Canteen,Mess / Canteen,Medium
lab eqpt nt calibrted,Laboratory,Laboratory,Medium
no wifi in hostel d,Electricity,Hostel D,Medium
hostel c has no washing machn,General,Hostel C,Low
"wnt 2 report, hostel a has no fire extinguisher",Civil / Infrastructure,Hostel A,High
main bldng has no library,Library,Main Building,Medium
wud luv it if ther wer more fans in hostel b,Electricity,Hostel B,Medium
no lift in hostel c,Civil / Infrastructure,Hostel C,Medium
hostel d has no telephone,IT / Network,Hostel D,Medium
lib has no AC,Library,Library,Medium
"wnt 2 report, no wtr supply in hostel d",Water Supply,Hostel D,High
hostl a has no TV,General,Hostel A,Low
wifi signal strng in hostel c,Electricity,Hostel C,Low
mss / canteen has no menu,Mess / Canteen,Mess / Canteen,Low
no hot wtr supply in lib,Water Supply,Library,Medium
hostel b has no gym,General,Hostel B,Low
lab eqpt nt wrking,Laboratory,Laboratory,Medium
wud luv it if ther wer more silent zones in hostel a,General,Hostel A,Low
hostel c has no ATM,General,Hostel C,Medium
main bldng has no canteen,Mess / Canteen,Main Building,Medium
no intercom in hostel b,IT / Network,Hostel B,Medium
"wnt 2 report, hostel d has no dustbin",Civil / Infrastructure,Hostel D,Low
lib has no newspaper,Library,Library,Low
wifi nt wrking in hostel a,Electricity,Hostel A,Medium
hostl c has no fire alarm,Civil / Infrastructure,Hostel C,High
mss / canteen food s cold,Mess / Canteen,Mess / Canteen,Medium
no lift in hostel d,Civil / Infrastructure,Hostel D,Medium
hostel a has no telephone,IT / Network,Hostel A,Medium
wud luv it if ther wer more books on ds in lib,Library,Library,Low
main bldng has no sports ground,General,Main Building,Medium
"wnt 2 report, no wifi in lib",Electricity,Library,Medium
hostel b has no washing machn,General,Hostel B,Low
lab eqpt nt calibrted,Laboratory,Laboratory,Medium
no hot wtr supply in hostel b,Water Supply,Hostel B,Medium
hostel c has no refrigerator,General,Hostel C,Low
"wnt 2 report, hostel a has no ATM",General,Hostel A,Medium
lib has no AC,Library,Library,Medium
mss / canteen has no newspaper,Mess / Canteen,Mess / Canteen,Low
wifi signal nt strng in hostel d,Electricity,Hostel D,Low
no intercom in hostel c,IT / Network,Hostel C,Medium
hostel d has no gym,General,Hostel D,Low
main bldng has no hostel,Hostel,Main Building,Medium
"wnt 2 report, no wtr supply in hostel c",Water Supply,Hostel C,High
hostl b has no fire extinguisher,Civil / Infrastructure,Hostel B,High
lib has no menu,Library,Library,Low
wifi nt wrking in hostel b,Electricity,Hostel B,Medium
mss / canteen food s nt gud,Mess / Canteen,Mess / Canteen,Medium
no lift in main bldng,Civil / Infrastructure,Main Building,Medium
hostel a has no washing machn,General,Hostel A,Low
wud luv it if ther wer more events in audtrium,General,Auditorium,Low
lab eqpt nt wrking,Laboratory,Laboratory,Medium
no hot wtr supply in hostel d,Water Supply,Hostel D,Medium
hostel c has no TV,General,Hostel C,Low
main bldng has no laboratory,Laboratory,Main Building,Medium
"wnt 2 report, no wifi in hostel c",Electricity,Hostel C,Medium
hostel d has no refrigerator,General,Hostel D,Low
lib has no fire alarm,Library,Library,Medium
mss / canteen has no AC,Mess / Canteen,Mess / Canteen,Medium
wifi signal strng in hostel b,Electricity,Hostel B,Low
no intercom in hostel d,IT / Network,Hostel D,Medium
hostel a has no gym,General,Hostel A,Low
"wnt 2 report, no wtr supply in lib",Water Supply,Library,Medium
main bldng has no mess,Mess / Canteen,Main Building,Medium
lab eqpt nt calibrted,Laboratory,Laboratory,Medium
hostel b has no telephone,IT / Network,Hostel B,Medium
lib has no newspaper,Library,Library,Low
wifi nt wrking in hostel d,Electricity,Hostel D,Medium
mss / canteen food s cold,Mess / Canteen,Mess / Canteen,Medium
no lift in hostel a,Civil / Infrastructure,Hostel A,Medium
hostel c has no ATM,General,Hostel C,Medium
wud luv it if ther wer more silent zones in lib,Library,Library,Low
main bldng has no hostel a,Hostel,Main Building,Medium
"wnt 2 report, no hot wtr supply in hostel a",Water Supply,Hostel A,Medium
hostel d has no fire extinguisher,Civil / Infrastructure,Hostel D,High
lib has no menu,Library,Library,Low
wifi signal nt strng in hostel a,Electricity,Hostel A,Low
mss / canteen has no newspaper,Mess / Canteen,Mess / Canteen,Low
no intercom in main bldng,IT / Network,Main Building,Medium
hostel b has no washing machn,General,Hostel B,Low
lab eqpt nt wrking,Laboratory,Laboratory,Medium
wud luv it if ther wer more books on ml in lib,Library,Library,Low
main bldng has no sports,General,Main Building,Medium
"wnt 2 report, no wifi in hostel b",Electricity,Hostel B,Medium
hostel c has no gym,General,Hostel C,Low
lib has no fire alarm,Library,Library,Medium
mss / canteen food s nt gud,Mess / Canteen,Mess / Canteen,Medium
wifi nt wrking in lib,Electricity,Library,Medium
no lift in hostel c,Civil / Infrastructure,Hostel C,Medium
hostel d has no telephone,IT / Network,Hostel D,Medium
main bldng has no laboratory,Laboratory,Main Building,Medium
"wnt 2 report, no hot wtr supply in hostel c",Water Supply,Hostel C,Medium
hostl a has no fire extinguisher,Civil / Infrastructure,Hostel A,High
lib has no AC,Library,Library,Medium
mss / canteen has no menu,Mess / Canteen,Mess / Canteen,Low
wifi signal strng in hostel d,Electricity,Hostel D,Low
no intercom in hostel a,IT / Network,Hostel A,Medium
hostel b has no refrigerator,General,Hostel B,Low
lab eqpt nt calibrted,Laboratory,Laboratory,Medium
wud luv it if ther wer more events in sports ground,General,Sports Ground,Low
main bldng has no mess / canteen,Mess / Canteen,Main Building,Medium
"wnt 2 report, no wifi in hostel a",Electricity,Hostel A,Medium
hostel c has no washing machn,General,Hostel C,Low
lib has no newspaper,Library,Library,Low
mss / canteen food s cold,Mess / Canteen,Mess / Canteen,Medium
no lift in main bldng,Civil / Infrastructure,Main Building,Medium
hostel d has no gym,General,Hostel D,Low
"wnt 2 report, no wtr supply in hostel b",Water Supply,Hostel B,Medium
main bldng has no library,Library,Main Building,Medium
lab eqpt nt wrking,Laboratory,Laboratory,Medium
hostl a has no ATM,General,Hostel A,Medium
lib has no fire alarm,Library,Library,Medium
mss / canteen has no AC,Mess / Canteen,Mess / Canteen,Medium
wifi signal nt strng in hostel c,Electricity,Hostel C,Low
no intercom in hostel b,IT / Network,Hostel B,Medium
hostel c has no telephone,IT / Network,Hostel C,Medium
wud luv it if ther wer more silent zones in hostel b,General,Hostel B,Low
main bldng has no auditorium,General,Main Building,Medium
"wnt 2 report, no hot wtr supply in lib",Water Supply,Library,Medium
hostel d has no refrigerator,General,Hostel D,Low
lib has no menu,Library,Library,Low
mss / canteen food s nt gud,Mess / Canteen,Mess / Canteen,Medium
wifi nt wrking in hostel c,Electricity,Hostel C,Medium
no lift in hostel d,Civil / Infrastructure,Hostel D,Medium
hostel a has no washing machn,General,Hostel A,Low
"wnt 2 report, no wifi in hostel d",Electricity,Hostel D,Medium
main bldng has no hostel b,Hostel,Main Building,Medium
lab eqpt nt calibrted,Laboratory,Laboratory,Medium
hostl b has no fire extinguisher,Civil / Infrastructure,Hostel B,High
lib has no newspaper,Library,Library,Low
mss / canteen has no newspaper,Mess / Canteen,Mess / Canteen,Low
wifi signal strng in hostel a,Electricity,Hostel A,Low
no intercom in hostel c,IT / Network,Hostel C,Medium
hostel d has no gym,General,Hostel D,Low
wud luv it if ther wer more books on ds in lib,Library,Library,Low
main bldng has no sports ground,General,Main Building,Medium
"wnt 2 report, no wtr supply in hostel a",Water Supply,Hostel A,Medium
hostel c has no ATM,General,Hostel C,Medium
lib has no AC,Library,Library,Medium
mss / canteen food s cold,Mess / Canteen,Mess / Canteen,Medium
wifi nt wrking in lib,Electricity,Library,Medium
no lift in hostel b,Civil / Infrastructure,Hostel B,Medium
hostel a has no telephone,IT / Network,Hostel A,Medium
"wnt 2 report, no hot wtr supply in hostel d",Water Supply,Hostel D,Medium
main bldng has no laboratory,Laboratory,Main Building,Medium
lab eqpt nt wrking,Laboratory,Laboratory,Medium
hostl b has no washing machn,General,Hostel B,Low
lib has no fire alarm,Library,Library,Medium
mss / canteen has no menu,Mess / Canteen,Mess / Canteen,Low
wifi signal nt strng in hostel b,Electricity,Hostel B,Low
no intercom in hostel d,IT / Network,Hostel D,Medium
hostel c has no gym,General,Hostel C,Low
wud luv it if ther wer more events in audtrium,General,Auditorium,Low
main bldng has no mess / canteen,Mess / Canteen,Main Building,Medium
"wnt 2 report, no wifi in hostel b",Electricity,Hostel B,Medium
hostel d has no refrigerator,General,Hostel D,Low
lib has no newspaper,Library,Library,Low
mss / canteen food s nt gud,Mess / Canteen,Mess / Canteen,Medium
